Timestamps (ns),3.4.5,3.4.6,3.4.7,Frequency,FFT – 3.4.5,FFT – 3.4.6,FFT – 3.4.7,FFT – 3.4.5(V),FFT – 3.4.6(V),FFT – 3.4.7(V),,,Expected f (Hz),Measured f (Hz),%Error
-400176,0.905349794238683,-0.181069958847737,0.938271604938272,0,-1.79665698630185,-1.74314014452608,-1.79680794753178,0.813143417507111,0.818168948179042,0.813129285153511,,Sine,100000,99249.6456720133,0.750354327986701
-399168,1.46502057613169,1.81069958847737,1.33333333333333,1908.6470321541,-12.0600636866338,-12.005764016532,-12.0567951528426,0.249457643615582,0.251022007923611,0.249551533153966,,Square,100000,99249.6456720133,0.750354327986701
-398160,1.79423868312757,1.81069958847737,1.7283950617284,3817.2940643082,-22.3234703869657,-22.2683878885378,-22.3167823581533,0.0765290779196342,0.0770159373589585,0.0765880270660021,,Triangle,100000,99249.6456720133,0.750354327986701
-397152,1.7283950617284,1.81069958847737,1.48148148148148,5725.9410964623,-24.8641913773359,-24.8157000149254,-24.8627205008332,0.0571202936095825,0.0574400751265834,0.0571299672314393,,"With an error this small and consistent it’s quite likely error is resistance and 
Other small imperfections that can cause minute changes",,,
-396144,1.31687242798354,1.81069958847737,1.08641975308642,7634.58812861641,-27.4049123677062,-27.3630121413129,-27.408658643513,0.0426338331878397,0.0428399931714108,0.0426154489271887,,,,,
-395136,0.691358024691358,1.82716049382716,0.674897119341564,9543.23516077051,-28.6811165953715,-28.5493931781746,-28.7031162860656,0.0368081652676521,0.0373706232687918,0.0367150552172023,,"5. The small peaks are likely due to the same changes such as resistance that
Effected number 4.  The actual peaks are incredibly small on a non-logarithmic
Scale, thus they are negligible.  ",,,
-394128,0.131687242798354,-0.181069958847737,0.279835390946502,11451.8821929246,-29.9573208230369,-29.7357742150363,-29.9975739286182,0.0317785413383194,0.0325995262863384,0.03163161044966,,,,,
-393120,-0.164609053497942,-0.197530864197531,-0.131687242798354,13360.5292250787,-30.9969937642335,-30.777438618333,-31.0406507660832,0.0281935855843943,0.0289153244054595,0.0280522345652575,,,,,
-392112,-0.0987654320987654,-0.181069958847737,0.148148148148148,15269.1762572328,-32.0366667054302,-31.8191030216298,-32.0837276035482,0.025013050776691,0.0256474888048707,0.0248778943884814,,,,,
-391104,0.329218106995885,-0.197530864197531,0.559670781893004,17177.8232893869,-33.0036342376601,-32.7890335252121,-33.0854313175357,0.0223778463774237,0.0229376184203237,0.0221680980729931,,,,,
-390096,0.938271604938272,-0.197530864197531,0.954732510288066,19086.470321541,-33.97060176989,-33.7589640287945,-34.0871350315232,0.0200202691371909,0.0205140683674437,0.0197534632352717,,,,,
-389088,1.51440329218107,1.81069958847737,1.36625514403292,20995.1173536951,-34.4472494136001,-34.1177620337614,-34.5556591927165,0.018951235537327,0.0196839339153237,0.0187161725471851,,,,,
-388080,1.81069958847737,1.81069958847737,1.77777777777778,22903.7643858492,-34.9238970573101,-34.4765600387283,-35.0241833539097,0.0179392857273868,0.0188873921760802,0.0177333519010743,,,,,
-387072,1.7119341563786,1.82716049382716,1.44855967078189,24812.4114180033,-35.2720076848378,-34.8030100885849,-35.3991798956173,0.0172345368028345,0.0181907035188986,0.016984040048116,,,,,
-386064,1.26748971193416,1.82716049382716,1.05349794238683,26721.0584501574,-35.6201183123654,-35.1294601384416,-35.7741764373249,0.0165574741002539,0.0175197132260288,0.0162663899055956,,,,,
-385056,0.65843621399177,1.81069958847737,0.641975308641975,28629.7054823115,-36.0462911497587,-35.5435406313024,-36.2237841307092,0.015764690268517,0.0167040956605516,0.0154458137420536,,,,,
-384048,0.0987654320987654,-0.181069958847737,0.230452674897119,30538.3525144656,-36.4724639871521,-35.9576211241632,-36.6733918240935,0.0150098654998627,0.015926448580352,0.0146666324574049,,,,,
-383040,-0.181069958847737,-0.181069958847737,-0.164609053497942,32446.9995466197,-36.9978348566478,-36.3704777623841,-37.226594588011,0.014128896936383,0.0151871440371852,0.0137616424697766,,,,,
-382032,-0.065843621399177,-0.197530864197531,0.181069958847737,34355.6465787738,-37.5232057261436,-36.783334400605,-37.7797973519285,0.0132996347396155,0.0144821579552114,0.0129124939904213,,,,,
-381024,0.378600823045268,-0.197530864197531,0.592592592592593,36264.2936109279,-38.109076595691,-37.2907931877153,-38.4104160620918,0.0124321479604096,0.0136603032532028,0.0120082355108593,,,,,
-380016,0.987654320987654,-0.181069958847737,0.987654320987654,38172.940643082,-38.6949474652384,-37.7982519748255,-39.0410347722551,0.0116212441871908,0.0128850883650469,0.0111673020092966,,,,,
-379008,1.54732510288066,1.81069958847737,1.39917695473251,40081.5876752361,-39.1659489828437,-38.1163369966003,-39.5199508730789,0.0110078512141045,0.012421760462046,0.0105682348653312,,,,,
-378000,1.81069958847737,1.81069958847737,1.81069958847737,41990.2347073902,-39.6369505004489,-38.434422018375,-39.9988669739028,0.0104268343733301,0.011975093115777,0.0100013045295832,,,,,
-376992,1.67901234567901,1.81069958847737,1.4320987654321,43898.8817395443,-39.8324374086872,-38.4857749285521,-40.2627678472952,0.0101947863681812,0.011904502582621,0.00970200753618683,,,,,
